0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PopeTr00,LAC,26,RB,14,0,3,2,66.7%,14,7.0,1,1,13,4.7,0.1,1.0,1,2019
SaubEr00,CHI,25,TE,2,0,3,2,66.7%,21,10.5,0,1,11,7.0,1.0,10.5,0,2019
ScotDa02,NYG,24,WR,5,2,3,2,66.7%,22,11.0,0,2,11,7.3,0.4,4.4,0,2019
SherAn00,KAN,31,RB,16,0,3,2,66.7%,22,11.0,0,2,15,7.3,0.1,1.4,0,2019
SimoSc00,NYG,27,TE,5,1,2,2,100.0%,11,5.5,0,1,10,5.5,0.4,2.2,0,2019
SimsCa00,WAS,23,WR,7,1,3,2,66.7%,27,13.5,0,1,15,9.0,0.3,3.9,0,2019
ThomMi04,LAR,25,WR,16,0,5,2,40.0%,14,7.0,0,1,9,2.8,0.1,0.9,0,2019
ToilLe00,SFO,28,TE,13,0,2,2,100.0%,10,5.0,0,0,8,5.0,0.2,0.8,0,2019
WalkMi00,JAX,23,WR,7,0,3,2,66.7%,15,7.5,0,1,9,5.0,0.3,2.1,2,2019
WescTr00,NYJ,24,TE,16,1,3,2,66.7%,47,23.5,0,2,32,15.7,0.1,2.9,0,2019
ZennZa00,3TM,28,RB,5,0,3,2,66.7%,19,9.5,0,2,13,6.3,0.4,3.8,0,2019
AgneJa00,DET,24,DB,13,0,2,1,50.0%,-2,-2.0,0,0,-2,-1.0,0.1,-0.2,1,2019
AlleJa01,NYG,28,RB,10,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.9,0,2019
AuclAn00,TAM,26,TE,8,5,3,1,33.3%,11,11.0,0,1,11,3.7,0.1,1.4,0,2019
BlouDa00,DET,24,QB,5,5,1,1,100.0%,19,19.0,1,1,19,19.0,0.2,3.8,1,2019
BradGa00,MIN,24,C,16,16,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,0,2019
BrisJa00,IND,27,QB,15,15,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.1,7,2019
BryaVe00,DAL,23,WR,12,0,1,1,100.0%,15,15.0,1,1,15,15.0,0.1,1.3,0,2019
ByarKe01,TEN,26,FS,16,16,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,0.7,0,2019
CarrAu00,NOR,26,WR,6,3,4,1,25.0%,9,9.0,0,1,9,2.3,0.2,1.5,0,2019
CulkSe00,LAC,26,TE,4,2,2,1,50.0%,12,12.0,0,1,12,6.0,0.3,3.0,0,2019
